                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6939,                 1.9068,                 1.5286,                0.65401,                0.59769,                 0.6062,                0.31624,                 1.5701,                  1.292,                  1.464,               0.003321,               0.003321,               0.003321
                      2,                 1.5186,                 1.2437,                 1.3436,                0.68564,                0.63358,                0.65771,                0.34338,                 1.5737,                 1.2271,                 1.4479,              0.0066324,              0.0066324,              0.0066324
                      3,                 1.5389,                 1.2358,                 1.3466,                0.63568,                0.59296,                0.59687,                 0.3031,                 1.6526,                 1.3135,                  1.482,              0.0099217,              0.0099217,              0.0099217
                      4,                 1.5722,                 1.2562,                 1.3546,                0.66209,                0.64104,                0.65271,                0.33343,                 1.5979,                 1.2885,                 1.4365,               0.009901,               0.009901,               0.009901
                      5,                 1.5516,                 1.2299,                 1.3633,                0.70337,                0.66772,                0.68318,                0.35733,                 1.5739,                 1.1976,                 1.4425,               0.009868,               0.009868,               0.009868
                      6,                 1.5185,                 1.1724,                 1.3352,                0.72082,                0.67587,                0.70598,                 0.3756,                 1.5329,                  1.217,                 1.3769,               0.009835,               0.009835,               0.009835
                      7,                 1.5199,                 1.1652,                 1.3417,                0.71174,                0.69636,                0.69252,                0.37123,                 1.5428,                  1.176,                 1.4034,               0.009802,               0.009802,               0.009802
                      8,                 1.5068,                 1.1343,                 1.3247,                0.71176,                0.69325,                 0.6975,                0.38017,                 1.5142,                 1.1252,                 1.3778,               0.009769,               0.009769,               0.009769
                      9,                 1.4898,                 1.1252,                 1.3218,                0.74593,                0.70422,                0.73227,                0.40565,                 1.4749,                 1.0836,                 1.3668,               0.009736,               0.009736,               0.009736
                     10,                 1.4731,                 1.0863,                 1.3086,                0.77121,                0.69753,                0.74006,                0.40942,                 1.4811,                 1.0568,                 1.3662,               0.009703,               0.009703,               0.009703
                     11,                 1.4604,                 1.0812,                 1.3081,                0.74112,                0.70955,                0.73006,                0.40759,                 1.4796,                  1.082,                 1.3644,                0.00967,                0.00967,                0.00967
                     12,                 1.4523,                 1.0678,                 1.2996,                0.77881,                 0.7043,                0.73395,                0.41001,                 1.4672,                 1.0466,                 1.3443,               0.009637,               0.009637,               0.009637
                     13,                 1.4407,                 1.0554,                 1.2887,                0.76385,                0.72731,                0.75572,                0.41955,                 1.4617,                 1.0436,                 1.3538,               0.009604,               0.009604,               0.009604
                     14,                 1.4298,                 1.0211,                 1.2818,                0.78758,                0.70854,                0.75907,                0.42586,                 1.4632,                  1.009,                 1.3492,               0.009571,               0.009571,               0.009571
                     15,                 1.4198,                 1.0267,                 1.2813,                0.77052,                0.73007,                0.75333,                0.42113,                 1.4385,                 1.0113,                 1.3259,               0.009538,               0.009538,               0.009538
                     16,                  1.404,                 1.0023,                 1.2706,                0.78807,                0.71935,                0.76144,                0.43335,                 1.4433,                 1.0071,                 1.3328,               0.009505,               0.009505,               0.009505
                     17,                 1.4019,                0.99597,                 1.2694,                0.77777,                0.73912,                0.77101,                0.44156,                 1.4344,                0.99702,                 1.3272,               0.009472,               0.009472,               0.009472
                     18,                 1.3883,                0.98263,                 1.2551,                0.80466,                0.73737,                0.77931,                0.44591,                 1.4166,                0.95374,                 1.3132,               0.009439,               0.009439,               0.009439
                     19,                 1.3709,                 0.9662,                 1.2502,                0.78855,                0.74423,                0.77155,                0.44296,                  1.426,                0.97946,                   1.33,               0.009406,               0.009406,               0.009406
                     20,                 1.3835,                 0.9699,                 1.2527,                0.78985,                0.74785,                0.78719,                0.44698,                 1.4182,                0.96512,                 1.3218,               0.009373,               0.009373,               0.009373
                     21,                 1.3737,                0.95057,                 1.2537,                0.80565,                0.73744,                0.78505,                0.45573,                 1.3817,                0.95088,                 1.2872,                0.00934,                0.00934,                0.00934
                     22,                 1.3609,                0.96022,                 1.2445,                0.79476,                0.74506,                0.78558,                0.45045,                 1.4108,                0.93682,                 1.3155,               0.009307,               0.009307,               0.009307
                     23,                 1.3542,                0.94294,                 1.2443,                0.79137,                0.74816,                0.79395,                0.45263,                 1.3948,                 0.9405,                 1.3099,               0.009274,               0.009274,               0.009274
                     24,                 1.3423,                0.92324,                 1.2383,                0.78248,                0.74667,                0.77351,                0.44702,                 1.4114,                0.95609,                 1.3309,               0.009241,               0.009241,               0.009241
                     25,                 1.3448,                0.92761,                 1.2428,                0.79818,                 0.7362,                0.78284,                0.45048,                 1.3905,                0.96502,                 1.3048,               0.009208,               0.009208,               0.009208
                     26,                 1.3351,                0.91599,                  1.232,                0.79825,                0.76574,                0.79752,                0.46305,                 1.3752,                0.90473,                 1.2952,               0.009175,               0.009175,               0.009175
                     27,                 1.3368,                 0.9039,                 1.2295,                 0.7946,                0.76143,                0.78917,                0.45553,                 1.3845,                0.92418,                 1.2909,               0.009142,               0.009142,               0.009142
